id,name,owner,url,category,description_zh,description_en,install,ecosystems,kinds,stars,downloads,license,verified,added
mcp-python-sdk,MCP Python SDK,modelcontextprotocol,https://github.com/modelcontextprotocol/python-sdk,dev,Model Context Protocol 官方 Python SDK，用于构建 MCP 服务器与客户端。,The official Python SDK for Model Context Protocol servers and clients.,"pip install mcp（或 uv add ""mcp[cli]""，按官方 README）",mcp,other,24167,,MIT,true,2026-08-31
n8n-mcp,n8n-mcp,czlonkowski,https://github.com/czlonkowski/n8n-mcp,tools,面向 Claude Desktop / Claude Code / Windsurf / Cursor 的 MCP 服务：让 agent 帮你搭建 n8n 工作流。,An MCP server for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you.,npx n8n-mcp（或按 README 配置远程端点）,mcp,server,22813,,MIT,false,2026-08-31
context-mode,context-mode,mksglu,https://github.com/mksglu/context-mode,dev,AI 编程 agent 的上下文窗口优化：沙箱化工具输出（减少 98%）、持久化会话记忆，经 MCP + hooks 覆盖 17 个平台的上下文路由。,"Context window optimization for AI coding agents: sandboxes tool output (98% reduction), persists session memory, and enforces routing across 17 platforms via MCP + hooks.",git clone https://github.com/mksglu/context-mode（按 README 安装）,mcp,other,20267,,,false,2026-08-31
agency-agents-zh,agency-agents-zh,jnMetaCode,https://github.com/jnMetaCode/agency-agents-zh,identity,267 个即插即用的 AI 专家角色，支持 Hermes Agent / Claude Code / Cursor / Copilot 等 18 种工具，覆盖工程/设计/营销/金融等 20 个部门；含 52 个中国市场原创智能体（小红书/抖音/微信/飞书/钉钉等）。,"267 plug-and-play AI expert roles for Hermes Agent / Claude Code / Cursor / Copilot and 18+ tools, covering engineering, design, marketing and finance departments, plus 52 China-market originals (Xiaohongshu, Douyin, WeChat, Feishu, DingTalk).",git clone https://github.com/jnMetaCode/agency-agents-zh,claude-code|cursor|generic,other|other|other,20144,,MIT,false,2026-08-31
ai-guide,ai-guide,liyupi,https://github.com/liyupi/ai-guide,docs,程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程：OpenClaw 保姆级教程、大模型玩法（DeepSeek/GPT/Gemini/Claude/GLM）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills/RAG/MCP/A2A）与 Harness Engineering 编程教程。,"AI resource encyclopedia and zero-basics Vibe Coding tutorial: OpenClaw guides, model playbooks (DeepSeek/GPT/Gemini/Claude/GLM), AI news, prompt collections, AI knowledge base (Agent Skills/RAG/MCP/A2A) and Harness Engineering coding tutorials.",在线浏览 https://github.com/liyupi/ai-guide,generic,other,19332,,,false,2026-08-31
learn-harness-engineering,learn-harness-engineering,walkinglabs,https://github.com/walkinglabs/learn-harness-engineering,docs,Harness 工程入门教程，从 0 到 1 手把手教你理解 Agent Harness 的构造。,"Harness engineering beginner tutorial, from 0 to 1.",在线浏览 https://github.com/walkinglabs/learn-harness-engineering,generic,other,14559,,MIT,false,2026-08-31
bbdown,BBDown,nilaoda,https://github.com/nilaoda/BBDown,tools,命令行式哔哩哔哩下载器：支持视频、弹幕、字幕与高码率流下载。,"Bilibili Downloader: a command-line downloader for Bilibili videos, danmaku, subtitles and high-bitrate streams.",从 Releases 下载对应平台二进制（BBDown.exe），按 README 使用,generic,other,13896,,MIT,true,2026-08-31
awesome-dsh-plugin,awesome-dsh-plugin,awesome-dsh-plugin,https://github.com/awesome-dsh-plugin/awesome-dsh-plugin,market,DeepSeek Harness（dsh）插件精选列表（都可用 `dsh plugin add` 安装）；dsh-market 插件市场与 awesome-dsh-plugin.com 的数据源。,"Curated list of DeepSeek Harness (dsh) plugins, installable via `dsh plugin add`; powers the dsh-market plugin market and awesome-dsh-plugin.com.",dsh plugin --profile web add github:awesome-dsh-plugin/dsh-find-plugin,dsh,registry,13812,,CC0-1.0,false,2026-08-31
everos,EverOS,EverMind-AI,https://github.com/EverMind-AI/EverOS,memory,面向所有 AI agent 的可移植记忆层：本地优先、Markdown 原生、用户自持，跨应用/工具/工作流自我进化。,"One portable memory layer for every AI agent: local-first, Markdown-native, user-owned, and self-evolving across apps, tools and workflows.",git clone https://github.com/EverMind-AI/EverOS（按 README 安装）,generic,other,12576,,Apache-2.0,false,2026-08-31
superpowers-zh,superpowers-zh,jnMetaCode,https://github.com/jnMetaCode/superpowers-zh,skill,AI 编程超能力 · 中文增强版：superpowers（116k+ ⭐）完整汉化 + 6 个中国原创 skills，让 Claude Code / Copilot CLI / Hermes Agent / Cursor / Windsurf / Kiro / Gemini CLI 等 16 款 AI 编程工具真正会干活。,"AI coding superpowers, Chinese-enhanced edition: full localization of superpowers (116k+ stars) plus 6 original Chinese skills, for Claude Code / Copilot CLI / Hermes Agent / Cursor / Windsurf / Kiro / Gemini CLI and 16+ AI coding tools.",git clone https://github.com/jnMetaCode/superpowers-zh,claude-code|trae|cursor|gemini,skill|skill|skill|skill,7909,,MIT,false,2026-08-31
dsh-routing-suite,dsh-routing-suite,yjh051108,https://github.com/yjh051108/dsh-routing-suite,dev,DSH 路由套件：运行时注入器 + 任务感知推理模式路由预设（实测 P1-P23）。先装注入器，再装路由预设。,"DSH routing suite: runtime injector + task-aware reasoning-mode router preset kit (measured P1-P23). Install the injector first, then the router preset.",dsh plugin --profile web add github:yjh051108/dsh-routing-suite,dsh,plugin,6985,,MIT,true,2026-08-31
dsh-web,dsh-web,zhu1090093659,https://github.com/zhu1090093659/dsh-web,market,DSH Web 插件聚合生态：万物皆插件，经「创作工坊」分发。,"DeepSeek Harness (DSH) Web Plugin Aggregation Ecosystem: everything is a plugin, distributed via the Creative Workshop.",dsh plugin --profile web add github:zhu1090093659/dsh-web,dsh,plugin,6553,,Apache-2.0,true,2026-08-31
petdex,petdex,crafter-station,https://github.com/crafter-station/petdex,fun,动画桌面宠物画廊：为 Codex、Claude Code、DeepSeek Harness、Hermes、OpenCode、Gemini CLI 等提供可安装的像素宠物。,"A public gallery of animated pets for Codex, Claude Code, DeepSeek Harness, Hermes, OpenCode, Gemini CLI and more.",在 petdex 画廊浏览并复制对应 harness 的安装命令（画廊站点本身非 dsh bundle）,dsh|codex|claude-code|gemini,other|other|other|other,4007,,MIT,false,2026-08-31
modlens,modlens,liustack,https://github.com/liustack/modlens,vision,DeepSeek Harness 首个视觉插件：给纯文本模型加视觉理解，返回 OCR/布局/语义的结构化 JSON。,"First vision plugin for DeepSeek Harness: bolts visual understanding onto text-only models, returning structured JSON evidence.",dsh plugin --profile web add @liustack/modlens,dsh,plugin,3789,,,true,2026-08-31
any-auto-register,any-auto-register,lxf746,https://github.com/lxf746/any-auto-register,tools,为 ChatGPT、Cursor、Kiro、Grok、Windsurf、Trae 等 13+ AI 平台自动注册与管理账号：协议/浏览器双模式、插件化、Mac/Windows 一键部署。,"Auto-register and manage accounts for ChatGPT, Cursor, Kiro, Grok, Windsurf, Trae and 13+ AI platforms: protocol/browser dual-mode, plugin-based, one-click Mac/Windows deployment.",git clone https://github.com/lxf746/any-auto-register（按 README 部署）,trae,other,3218,,AGPL-3.0,false,2026-08-31
dsh-better-sidebar,DSH-better-sidebar,omdsh-dev,https://github.com/omdsh-dev/DSH-better-sidebar,ui,开放的侧边栏基座：支持第三方扩展注册新侧边栏页；内置文件渲染/编辑、终端、侧边对话、Git 与子代理页面。,"Open sidebar foundation: third-party extensions can register new sidebar pages. Built-in file rendering/editing, terminal, side chat, Git and sub-agent pages.",dsh plugin --profile web add github:omdsh-dev/DSH-better-sidebar,dsh,plugin,3156,,MIT,true,2026-08-31
workbuddyguide,WorkBuddyGuide,AlephAITech,https://github.com/AlephAITech/WorkBuddyGuide,docs,WorkBuddy 实战开源蓝皮书：教程、真实工作流、Skills、MCP、自动化与多智能体实践。,"A practical, open-source guide to mastering WorkBuddy through real-world workflows: tutorials, Skills, MCP, automation and multi-agent practice.",git clone https://github.com/AlephAITech/WorkBuddyGuide,workbuddy,other,2656,,MIT,false,2026-08-31
todo-for-ai,todo-for-ai,todo-for-ai,https://github.com/todo-for-ai/todo-for-ai,workflow,专为 AI 助手设计的综合任务管理系统：项目管理、任务跟踪、团队协作与无缝 AI 集成。,"A comprehensive task management system specifically designed for AI assistants: project management, task tracking, team collaboration and seamless AI integration.",git clone https://github.com/todo-for-ai/todo-for-ai（按 README 部署）,generic,other,1177,,Apache-2.0,false,2026-08-31
ecommerce-visual-copywriting-skill,ecommerce-visual-copywriting-skill,feichanggege,https://github.com/feichanggege/ecommerce-visual-copywriting-skill,skill,电商视觉文案设计 SOP Skill：让电商设计小白一键做出资深水准的商品图片文案，兼容 Claude / Codex / Cursor / WorkBuddy 等 SKILL.md Agent。,E-commerce visual copywriting SOP skill: lets design novices produce seasoned-quality product images in one go. Compatible with Claude / Codex / Cursor / WorkBuddy SKILL.md agents.,git clone https://github.com/feichanggege/ecommerce-visual-copywriting-skill,workbuddy|claude-code|codex|cursor,skill|skill|skill|skill,674,,MIT,false,2026-08-31
wechat-openclaw-channel,wechat-openclaw-channel,HenryXiaoYang,https://github.com/HenryXiaoYang/wechat-openclaw-channel,tools,微信版 OpenClaw Channel（从开源项目 OpenClaw 抽取），现已同时支持 QClaw 与 WorkBuddy 方式登录。,"WeChat channel extracted from the open-source project OpenClaw, now supporting both QClaw and WorkBuddy login methods.",git clone https://github.com/HenryXiaoYang/wechat-openclaw-channel,workbuddy,other,637,,,false,2026-08-31
workbuddyskills,WorkBuddy Skills Archive,infometa,https://github.com/infometa/workbuddyskills,skill,WorkBuddy 技能 / 连接器 / 专家归档，供离线学习与参考。,WorkBuddy skills / connectors / experts archive for offline study.,git clone https://github.com/infometa/workbuddyskills,workbuddy,skill,266,,,false,2026-08-31
learn-workbuddy,learn-workbuddy,adongwanai,https://github.com/adongwanai/learn-workbuddy,docs,从 0 复刻 WorkBuddy 风格桌面 AI 助手 Harness：4 章 Python 教程，覆盖 Agent Loop、工具调用、记忆系统、Sidecar、沙箱设计，附 DeepSeek/OpenAI 评测轨迹。,"Rebuild a WorkBuddy-style desktop AI assistant harness from zero: 4-chapter Python tutorial covering Agent Loop, tool calling, memory systems, sidecar, sandbox design, and DeepSeek/OpenAI evaluation traces.",git clone https://github.com/adongwanai/learn-workbuddy,workbuddy,other,261,,MIT,false,2026-08-31
codedrobe-skills,CodeDrobe Skills,CodeDrobe,https://github.com/CodeDrobe/skills,theme,给 AI 桌面应用换肤的 Agent Skills：参考图 → 可逆的 Codex/WorkBuddy 皮肤 → 校验、修复、发布。,"Agent Skills for theming AI desktop apps: reference image -> reversible Codex/WorkBuddy skin -> verify, repair, publish.",git clone https://github.com/CodeDrobe/skills,workbuddy,skill,247,,Apache-2.0,false,2026-08-31
tencentmeeting-cli,tencentmeeting-cli,TencentCloud,https://github.com/TencentCloud/tencentmeeting-cli,tools,腾讯会议命令行工具（CLI），基于腾讯会议开放平台 OAuth2 授权，支持会议管理、录制管理、参会报告等；以 CodeBuddy/WorkBuddy Skill 形态分发。,"Tencent Meeting command-line tool (CLI) built on the Tencent Meeting Open Platform OAuth2: meeting management, recording management and attendee reports; distributed as a CodeBuddy/WorkBuddy skill.",git clone https://github.com/TencentCloud/tencentmeeting-cli,workbuddy,skill,229,,,false,2026-08-31
superior-skills,superior-skills,Superior-Trade,https://github.com/Superior-Trade/superior-skills,dev,Superior Trade 的开源 agent skills 与工具 schema：构建、回测并部署交易策略。,"Open agent skills and tool schemas for Superior Trade: build, backtest and deploy trading strategies.",git clone https://github.com/Superior-Trade/superior-skills（按 README 导入）,generic,skill,206,,,false,2026-08-31
zhijian-ai-bluebook-workbuddy-harness,zhijian-ai-bluebook-workbuddy-harness,zjp1997720,https://github.com/zjp1997720/zhijian-ai-bluebook-workbuddy-harness,docs,智见 AI 蓝皮书：拆解 WorkBuddy 的提示词、记忆、插件、专家、Skill 与安全边界。,"Zhijian AI Bluebook: dissects WorkBuddy's prompts, memory, plugins, experts, Skills and security boundaries.",在线浏览 https://github.com/zjp1997720/zhijian-ai-bluebook-workbuddy-harness,workbuddy,other,196,,,false,2026-08-31
awesome-website-prompts-and-skills,awesome-website-prompts-and-skills,TencentEdgeOne,https://github.com/TencentEdgeOne/awesome-website-prompts-and-skills,docs,腾讯 EdgeOne 官方资源合集：给 AI 编程工具一个 Prompt 或 Skill，即可生成精美酷炫的网页，或带登录、支付、AI 能力的完整网站（WorkBuddy × EdgeOne AI Prompts × Skills 挑战赛官方作品池）。,"Official Tencent EdgeOne resource pool: give an AI coding tool one Prompt or Skill to generate polished websites, or complete sites with login, payment and AI capabilities. WorkBuddy x EdgeOne AI Prompts x Skills challenge works.",在线浏览 https://github.com/TencentEdgeOne/awesome-website-prompts-and-skills,workbuddy,registry,164,,MIT,false,2026-08-31
rayskills,rayskills,imraywang,https://github.com/imraywang/rayskills,skill,面向 AI Builder 的实战 Skill 工具箱：10 个可执行、可验证、可恢复的工作流，/ray 路由 + 内容生产管线直达公众号与 X Articles 草稿箱；支持 Claude Code、Codex 与 WorkBuddy。,"Practical Skill toolbox for AI Builders: 10 executable, verifiable, recoverable workflows, /ray routing plus a content-production pipeline straight into WeChat official account and X Articles drafts; works with Claude Code, Codex and WorkBuddy.",git clone https://github.com/imraywang/rayskills,workbuddy|claude-code|codex,skill|skill|skill,158,,,false,2026-08-31
dsh-popout-sidebar,dsh-popout-sidebar,e2mcc,https://github.com/e2mcc/dsh-popout-sidebar,ui,可弹出侧边栏：文件树 + 多格式预览，可弹出独立浏览器标签页拖到另一块屏幕。,"Pop-out sidebar: file tree with multiple preview formats, pops out into a separate browser tab.",dsh plugin --profile web add dsh-popout-sidebar,dsh,plugin,145,521,,false,2026-08-31
linkcode,linkcode,arcboxlabs,https://github.com/arcboxlabs/linkcode,dev,Codex App / WorkBuddy 的开源平替：支持 Codex、Claude Code、OpenCode、Pi 与 Grok Build。,"Open-source alternative to Codex App / WorkBuddy, supporting Codex, Claude Code, OpenCode, Pi, and Grok Build.",git clone https://github.com/arcboxlabs/linkcode,generic,other,140,,,false,2026-08-31
openfinclaw-cli,openfinclaw-cli,mirror29,https://github.com/mirror29/openfinclaw-cli,dev,一站式量化交易 AI agent：研究、策略、回测、模拟盘，一条命令开始。,"One-stop quant-trading AI agent: research, strategy, backtest and paper trade from one prompt.",git clone https://github.com/mirror29/openfinclaw-cli（按 README 使用）,generic,skill,63,,,false,2026-08-31
trip-planner-skill,trip-planner-skill,skywain,https://github.com/skywain/trip-planner-skill,tools,AI 旅行规划 Skill（Claude Code · Codex · Gemini CLI · Cursor · Copilot 等）：自动生成完整行程。,Agent skill for AI trip planning (Claude Code · Codex · Gemini CLI · Cursor · Copilot and more): generate full itineraries automatically.,git clone https://github.com/skywain/trip-planner-skill（按 README 导入）,claude-code|codex|gemini|generic,skill|skill|skill|skill,29,,,false,2026-08-31
dsh-skill-picker,dsh-skill-picker,a735624258,https://github.com/a735624258/dsh-skill-picker,ui,WorkBuddy 同款技能选择器：输入框旁可搜索的已装技能列表，点选插入 /技能名 手势。,WorkBuddy-style skill picker: a searchable list of installed skills beside the composer.,dsh plugin --profile web add dsh-skill-picker,dsh,plugin,25,1422,,false,2026-08-31
law-ye-skill,law-ye-skill,Jarvis-starcloud,https://github.com/Jarvis-starcloud/law-ye-skill,tools,精通中国法律体系的 AI 法律顾问 Skill（WorkBuddy/OpenClaw 兼容）。,AI legal-consultant Skill proficient in the Chinese legal system (WorkBuddy/OpenClaw compatible).,git clone https://github.com/Jarvis-starcloud/law-ye-skill（按 README 导入）,workbuddy,skill,24,,,false,2026-08-31
awesome-workbuddy,awesome-workbuddy,semlinker,https://github.com/semlinker/awesome-workbuddy,docs,精选腾讯 WorkBuddy 学习资料、实战案例、提示词、Skills 与 MCP 资源导航。,"Curated Tencent WorkBuddy learning materials, real-world cases, prompts, Skills and MCP resource navigation.",git clone https://github.com/semlinker/awesome-workbuddy,workbuddy,registry,20,,CC0-1.0,false,2026-08-31
patent-skills,patent-skills,Obviously-Not,https://github.com/Obviously-Not/patent-skills,tools,开源专利与创新研究 Agent Skills：发现独特技术方案、辅助专利检索与分析。,Open-source Agent Skills for patent and innovation research: discover distinctive technical solutions.,git clone https://github.com/Obviously-Not/patent-skills（按 README 导入）,generic,skill,16,,,false,2026-08-31
dsh-tui-pi,dsh-tui-pi,fan56,https://github.com/fan56/dsh-tui-pi,dev,DeepSeek Harness 全功能终端界面：流式对话、powerline 状态栏、实时思考/工具/待办面板。,"Full-featured TUI for DeepSeek Harness: streaming conversation, powerline status bar, think/tool/todo panels.",dsh plugin --profile web add @aiwayds/dsh-tui-pi,dsh,plugin,2,10033,,false,2026-08-31
dsh-find-plugin,dsh-find-plugin,awesome-dsh-plugin,https://github.com/awesome-dsh-plugin/dsh-find-plugin,market,让 agent 帮你找插件：在对话里直接发现、评估、安装社区插件。,"Lets your agent find plugins for you: discover, evaluate and install community plugins from chat.",dsh plugin --profile web add dsh-find-plugin,dsh,plugin,,,,false,2026-08-31
dsh-market,dsh-market,dsh-market,https://github.com/dsh-market/dsh-market,market,DeepSeek Harness 设置内的插件市场：浏览、搜索、一键安装、主题切换、备份与恢复。,"Plugin market inside DeepSeek Harness: browse, search, one-click install, themes, backup and restore.",dsh plugin --profile web add dshmarket,dsh,plugin,,,MIT,false,2026-08-31
github-mcp-server,GitHub MCP Server,github,https://github.com/github/github-mcp-server,tools,GitHub 官方 MCP 服务：让任意支持 MCP 的 agent 读写仓库 / issue / PR。,"Official GitHub MCP server: repos, issues and PRs for any MCP-capable agent.",docker run -i --rm -e GITHUB_PERSONAL_ACCESS_TOKEN ghcr.io/github/github-mcp-server,mcp,server,,,MIT,false,2026-08-31
